Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2020-01-01,675.32421875,683.1529137163456,673.490123328754,679.0819971118469,14004468
2020-01-02,686.8211669921875,689.3487293284268,676.3978391555818,676.3978391555818,17710316
2020-01-03,687.6488647460938,689.6619561224467,681.3187895160008,685.7923126356704,20984698
2020-01-06,671.7007446289062,683.510829151107,670.1349935917717,679.976780464453,24519177
2020-01-07,682.0346069335938,686.4633961016671,677.0689495898322,679.5293813804267,16683622
2020-01-08,676.912353515625,686.440941615489,675.5032015883575,677.7399630034671,16047902
2020-01-09,692.5026245117188,693.3973052036212,685.0094646794911,688.2975058097518,14982742
2020-01-10,692.3460693359375,696.9537946408119,688.7672268918529,694.2472957890357,12478359
2020-01-13,690.5789794921875,697.2892636445985,688.2080160085029,691.182918802657,18282382
2020-01-14,684.1818237304688,693.3972733335526,680.8043146862556,688.9237506296278,15816535
2020-01-15,681.698974609375,688.8789956511123,679.19380913835,687.067237525864,15817859
2020-01-16,687.9842529296875,690.4223472080394,683.5554644082378,684.0028644434916,12847975
2020-01-17,707.2652587890625,709.0322829800654,694.8288390890643,694.9630411899628,29463471
2020-01-20,685.5015258789062,719.7911481994419,682.839761284159,719.7911481994419,32545850
2020-01-21,686.1948852539062,691.5407512237331,680.8713564368783,683.8239219068291,18922720
2020-01-22,685.9488525390625,691.9433921150559,684.9423069375898,690.7131763493682,10322817
2020-01-23,683.0411376953125,689.796156393504,680.2899048582964,687.3580618125278,11247739
2020-01-24,680.6701049804688,687.2909208972738,679.3280242942884,683.1081395891008,14628445
2020-01-27,673.9597778320312,681.9674086637826,673.2663704558863,677.6952189115842,13387750
2020-01-28,658.3919067382812,675.5031818296184,654.7459935025485,674.8768456496997,24532236
2020-01-29,662.0155639648438,668.5245158029838,654.9473470644701,659.4208703121658,24746565
2020-01-30,645.8660278320312,661.9483606637074,644.1884717288344,661.6352224321117,22402689
2020-01-31,631.5059814453125,650.1158766250334,629.5152871221561,650.0040116804691,34750310
2020-02-03,619.8077392578125,626.2720164126083,609.7646795449248,612.8290505582687,30712290
2020-02-04,638.1044921875,640.8333280510134,625.3101998110101,626.2943485822723,25383901
2020-02-05,647.9909057617188,649.9145288544571,639.849132797698,641.9068982608502,18472100
2020-02-06,652.1513061523438,656.26695662953,644.2332031533095,650.4961469348968,15538577
2020-02-07,641.3477783203125,649.7132815022266,638.9544179355763,649.109342186217,12209212
2020-02-10,642.22021484375,646.6490042608419,630.969275278225,638.8203083482963,15142476
2020-02-11,649.8922119140625,655.9090886918525,646.4475719077193,647.4988515504008,13999816
2020-02-12,657.7432861328125,659.7787743619559,650.8987994375913,651.4132707150139,13533565
2020-02-13,659.465576171875,661.076061195236,654.2986456938107,661.076061195236,13565659
2020-02-14,665.4825439453125,671.6783575404241,650.0488229864293,660.8524216851458,21227841
2020-02-17,661.2996215820312,673.7807739220957,659.5325975883231,666.1086789731412,13149130
2020-02-18,656.4459228515625,660.248435272722,651.9723999060855,660.248435272722,11127161
2020-02-19,672.7294921875,673.9149738050373,659.8904676603004,661.7916937337079,14084409
2020-02-20,664.744384765625,674.6085086758875,663.7825731086709,669.6876451612479,16892268
2020-02-24,646.4028930664062,660.7405401434429,643.9871953423907,657.4972328720769,21370214
2020-02-25,633.6309204101562,649.2882495489266,630.7678229370605,649.2882495489266,27745062
2020-02-26,622.715576171875,631.8192220896827,620.6354134458878,630.7679422854154,29362748
2020-02-27,620.1432495117188,623.5207586374837,612.4263599498594,620.9260652375485,25054993
2020-02-28,594.3756103515625,607.0580958283585,592.7427884250544,606.1186214911856,39315769
2020-03-02,588.7837524414062,612.4263145698782,582.0510718430629,606.2081051825395,29500495
2020-03-03,600.7281494140625,605.6714099989539,591.4008335900859,594.8454740172322,27398798
2020-03-04,599.3189086914062,605.6265863851147,585.0930684252744,604.8213738082619,22105261
2020-03-05,586.5469360351562,607.4830574986179,584.2430441036529,604.9107614105319,30510390
2020-03-06,568.5858154296875,576.2579718033144,555.2099795536162,568.1384750442038,33734039
2020-03-09,498.4184265136719,555.1651580471522,489.85162058131226,554.7401548853941,88187018
2020-03-11,516.044189453125,527.183262933386,495.6672390040311,495.6672390040311,59578576
2020-03-12,475.53631591796875,492.5357258130127,469.1391701914128,485.37810154536595,55970485
2020-03-13,494.4593811035156,509.98250923399024,421.58557799627334,446.45838815033005,73297403
2020-03-16,454.3765563964844,483.00714524632815,449.58986531183916,474.4403385952524,38482258
2020-03-17,450.93194580078125,474.19430109253625,448.7846523850041,468.4905324264047,45445979
2020-03-18,433.261474609375,463.4130789981454,429.90633253193516,458.6711221665263,44730415
2020-03-19,410.53594970703125,432.5904563115507,399.128442171934,411.60959642106957,61404010
2020-03-20,455.38311767578125,462.9657459489258,416.0383975453142,420.28825049021884,63360475
2020-03-23,395.4825134277344,424.98544483853334,391.72473514239124,409.86489349215907,40670949
2020-03-24,422.0329284667969,433.9325104811008,400.73893016882965,416.03838849257653,45734887
2020-03-25,484.14788818359375,515.1494403179707,430.91289363718744,431.15893082862937,73130298
2020-03-26,476.9678649902344,499.6486775382283,466.2984990986507,490.20952746231364,45744488
2020-03-27,476.6994323730469,495.3540612398386,468.02079126607595,489.8516259919914,41657940
2020-03-30,460.9750061035156,480.815118140311,456.30017996614265,465.51565999753865,30229866
2020-03-31,498.2395324707031,505.41952430798887,468.8260681247117,480.4348787671312,44292810
2020-04-01,483.3426513671875,503.093264271414,467.5734569491014,502.0419846435416,41597459
2020-04-03,482.0006103515625,507.49975757793965,472.53909292167856,507.49975757793965,41367807
2020-04-07,539.5526123046875,543.086660841312,492.08842686836795,493.0278714782651,54373624
2020-04-08,533.3119506835938,549.7969487728319,518.929571501776,527.8766166035285,49880330
2020-04-09,545.7484130859375,551.4968858405396,533.6922622821191,543.0866484415843,33032857
2020-04-13,531.9699096679688,543.5339847346166,527.8765966727111,538.5907251822866,23673784
2020-04-15,514.388916015625,552.9283884903713,511.32454531609477,535.50397581859,35321842
2020-04-16,522.5308227539062,531.2094648682425,512.2193584197375,514.3889890858135,37455706
2020-04-17,547.5601806640625,550.2443422338717,533.5356723756136,543.9813981126731,33269335
2020-04-20,556.417724609375,562.3227357287913,537.718363464547,548.454828761218,36030932
2020-04-21,553.5324096679688,560.0860954670951,520.719067459836,541.2972622124873,61371628
2020-04-22,610.0107421875,619.5393912196122,581.5591166596107,590.5061634535994,142683366
2020-04-23,613.2763671875,619.9643142606366,605.4029383592604,611.6882791292506,65464502
2020-04-24,633.8993530273438,668.7705176942633,602.6741016877038,603.9937855419026,134986308
2020-04-27,639.6030883789062,659.8458058753123,636.5834515375906,641.5043146604703,58482901
2020-04-28,638.8873901367188,651.1000807620374,622.7826591494636,648.6620459031445,78453401
2020-04-29,638.3504638671875,650.294808910519,635.2413590168171,646.3804914740855,37494672
2020-04-30,655.8196411132812,668.770532341543,643.3161499559969,650.4290406318744,71345899
2020-05-04,642.0411376953125,655.372237059235,634.100578563775,644.1884308722197,53456868
2020-05-05,653.4262084960938,661.6351717003255,647.4093321949724,650.3171635725639,44903763
2020-05-06,653.4710693359375,664.2970042488814,646.6489200756587,654.9249553114857,40489094
2020-05-07,674.1386108398438,677.135910051609,646.425134987599,650.8986570670977,50026966
2020-05-08,698.676025390625,706.7730639573823,687.6263616828003,691.1604694861131,84262770
2020-05-11,705.3863525390625,722.475230772329,703.3732613494101,706.817841580586,67085063
2020-05-12,661.7470703125,701.6062908611085,655.372320874391,700.0181429966896,100683202
2020-05-13,675.7872314453125,689.5834112989287,656.6170544616783,689.5834112989287,66430125
2020-05-14,648.4656982421875,675.9000219142658,645.8013059494067,663.390858072304,49266771
2020-05-15,659.0556640625,662.3523056062347,639.0500542508714,652.101104371265,62152260
2020-05-18,650.6334838867188,669.2617172227509,644.8756934578628,663.8426273750064,62796089
2020-05-19,636.2501831054688,660.0943806330317,633.6987303989603,657.9718729953,42315854
2020-05-20,647.44970703125,653.3881649537279,629.0698124523583,636.7469251931129,55320985
2020-05-21,650.8592529296875,659.981412669229,643.5208404585119,648.0367682176926,39167981
2020-05-22,646.4788208007812,658.4234659784153,644.1982807272651,655.6236168765307,37828973
2020-05-26,643.091796875,654.6751640177939,639.5919112653286,653.9751868958597,33216635
2020-05-27,652.8010864257812,656.61703698639,637.6501047337907,646.2303793438942,35667956
2020-05-28,664.8585205078125,668.2454658354499,654.3589840196363,657.0685283367451,40126278
2020-05-29,661.3136596679688,664.7457577060809,656.007450356248,662.9393746004914,40022527
2020-06-01,686.580322265625,694.7090163146383,666.5295595380629,668.3585186853417,39943702
2020-06-02,693.51220703125,695.4541060723005,686.7834677262479,689.1317954741431,22153960
2020-06-03,696.1992797851562,704.4860062831307,692.4509975159605,697.7121144364211,25381289
2020-06-04,713.4275512695312,717.8080227909754,695.9057249087699,697.2604674305974,34202350
2020-06-05,714.2855224609375,730.6783659768879,710.6727564801458,720.291708575871,33076685
2020-06-08,708.776123046875,730.859089589277,706.7439793566319,730.859089589277,31414953
2020-06-09,694.1670532226562,714.8726404733965,692.29294201313,704.6214390965813,25857161
2020-06-10,709.9728393554688,713.3146329578219,695.4766830422209,696.8540015463917,22132647
2020-06-11,694.4154663085938,708.0761301554923,691.3897970340737,707.1955445300772,20385805
2020-06-12,717.4918823242188,719.3885695925972,676.0355556331963,677.3903578499011,38548899
2020-06-15,729.120361328125,734.7201185977291,704.9826774658966,706.7439083037186,53107403
2020-06-16,730.5429077148438,744.474543171046,715.9112353938917,741.9682427707079,51187003
2020-06-17,729.481689453125,738.5586972066078,723.4980791176175,726.2753520321108,41782053
2020-06-18,747.793701171875,751.9031997400788,725.0785489207035,725.7107978465832,40471557
2020-06-19,794.5336303710938,807.8104393174129,750.5484335405904,754.1611393843139,105804173
2020-06-22,788.5501098632812,814.7650899304879,783.5148135515716,800.8560305108304,60198705
2020-06-23,777.1473388671875,796.4981230069162,774.9796793150689,790.2886927800162,37962078
